year,yearly_ranking,name,net_worth_usd_billion,age,nationality,source_of_wealth,industry
2006,8,Al-Waleed bin Talal,20,49, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2005,5,Al-Waleed bin Talal,23.7,49, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2004,4,Al-Waleed bin Talal,21.5,47, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2003,5,Al-Waleed bin Talal,17.7,46, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2001,6,Al-Waleed bin Talal,20,44, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2000,6,Al-Waleed bin Talal,20,43, Saudi Arabia,Kingdom Holding Company,Miscellaneous
1999,8,Al-Waleed Bin Talal,15,42, Saudi Arabia,Kingdom Holding Company,Miscellaneous
1998,8,Al-Waleed Bin Talal,13.3,41, Saudi Arabia,Kingdom Holding Company,Miscellaneous
2004,6,Alice Walton,20,55, United States,Wal-Mart,Consumer Goods/Retail
2003,7,Alice Walton,16.5,54, United States,Wal-Mart,Consumer Goods/Retail
2002,8,Alice Walton,20.5,53, United States,Wal-Mart,Consumer Goods/Retail
2001,10,Alice Walton,18.5,52, United States,Wal-Mart,Consumer Goods/Retail
2020,9,Alice Walton,54.4,70, United States,Walmart,Consumer Goods/Retail
2016,2,Amancio Ortega,67,79, Spain,Inditex,Consumer Goods/Retail
2015,4,Amancio Ortega,64.5,78, Spain,Inditex,Consumer Goods/Retail
2014,3,Amancio Ortega,64,77, Spain,Inditex,Consumer Goods/Retail
2013,3,Amancio Ortega,57,76, Spain,Inditex Group,Consumer Goods/Retail
2012,5,Amancio Ortega,37.5,75, Spain,Inditex Group,Consumer Goods/Retail
2011,7,Amancio Ortega,31,74, Spain,Inditex Group,Consumer Goods/Retail
2010,9,Amancio Ortega,25,74, Spain,Inditex Group,Consumer Goods/Retail
2009,10,Amancio Ortega,18.3,73, Spain,Inditex Group,Consumer Goods/Retail
2007,8,Amancio Ortega,24,71, Spain,Inditex Group,Consumer Goods/Retail
2020,6,Amancio Ortega,55.1,84, Spain,"Inditex, Zara",Consumer Goods/Retail
2019,6,Amancio Ortega,62.7,82, Spain,"Inditex, Zara",Consumer Goods/Retail
2018,6,Amancio Ortega,70,81, Spain,"Inditex, Zara",Consumer Goods/Retail
2017,4,Amancio Ortega,71.3,80, Spain,"Inditex, Zara",Consumer Goods/Retail
2008,6,Anil Ambani,42,48, India,Anil Dhirubhai Ambani Group,Services
2012,4,Bernard Arnault & family,41,63, France,LVMH Moët Hennessy  Louis Vuitton,Consumer Goods/Retail
2011,4,Bernard Arnault & family,41,62, France,LVMH Moët Hennessy  Louis Vuitton,Consumer Goods/Retail
2010,7,Bernard Arnault & family,27.5,61, France,LVMH Moët Hennessy  Louis Vuitton,Consumer Goods/Retail
2006,7,Bernard Arnault & family,21.5,57, France,LVMH Moët Hennessy  Louis Vuitton,Consumer Goods/Retail
2019,4,Bernard Arnault & family,76,70, France,LVMH,Miscellaneous
2018,4,Bernard Arnault & family,72,69, France,LVMH,Miscellaneous
2013,10,Bernard Arnault & family,29,63, France,LVMH,Miscellaneous
2007,7,Bernard Arnault & family,26,58, France,LVMH,Miscellaneous
2022,3,Bernard Arnault & family,158,73, France,LVMH,Miscellaneous
2021,3,Bernard Arnault & family,150,72, France,LVMH,Miscellaneous
2020,3,Bernard Arnault & family,76,71, France,LVMH,Miscellaneous
1995,2,Bill Gates,12.9,/, United States,Microsoft,Media/Technology
1994,5,Bill Gates,8.2,/, United States,Microsoft,Media/Technology
1993,6,Bill Gates,7.4,/, United States,Microsoft,Media/Technology
1992,7,Bill Gates,6.4,/, United States,Microsoft,Media/Technology
2022,4,Bill Gates,129,66, United States,Microsoft,Media/Technology
2021,4,Bill Gates,124,65, United States,Microsoft,Media/Technology
2020,2,Bill Gates,98,64, United States,Microsoft,Media/Technology
2019,2,Bill Gates,96.5,63, United States,Microsoft,Media/Technology
2018,2,Bill Gates,90,62, United States,Microsoft,Media/Technology
2017,1,Bill Gates,86,61, United States,Microsoft,Media/Technology
2016,1,Bill Gates,75,60, United States,Microsoft,Media/Technology
2015,1,Bill Gates,79.2,59, United States,Microsoft,Media/Technology
2014,1,Bill Gates,76,58, United States,Microsoft,Media/Technology
2013,2,Bill Gates,67,57, United States,Microsoft,Media/Technology
2012,2,Bill Gates,61,56, United States,Microsoft,Media/Technology
2011,2,Bill Gates,56,55, United States,Microsoft,Media/Technology
2010,2,Bill Gates,53,54, United States,Microsoft,Media/Technology
2009,1,Bill Gates,40,53, United States,Microsoft,Media/Technology
2008,3,Bill Gates,58,52, United States,Microsoft,Media/Technology
2007,1,Bill Gates,56,51, United States,Microsoft,Media/Technology
2006,1,Bill Gates,52,50, United States,Microsoft,Media/Technology
2005,1,Bill Gates,46.5,49, United States,Microsoft,Media/Technology
2004,1,Bill Gates,46.6,48, United States,Microsoft,Media/Technology
2003,1,Bill Gates,40.7,47, United States,Microsoft,Media/Technology
2002,1,Bill Gates,52.8,46, United States,Microsoft,Media/Technology
2001,1,Bill Gates,58.7,45, United States,Microsoft,Media/Technology
2000,1,Bill Gates,60,44, United States,Microsoft,Media/Technology
1999,1,Bill Gates,90,43, United States,Microsoft,Media/Technology
1998,1,Bill Gates,51,43, United States,Microsoft,Media/Technology
1997,1,Bill Gates,36.4,42, United States,Microsoft,Media/Technology
1996,2,Bill Gates,18,41, United States,Microsoft,Media/Technology
2019,5,Carlos Slim & family,64,79, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2018,7,Carlos Slim & family,67.1,78, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2017,6,Carlos Slim & family,54.5,77, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2016,4,Carlos Slim & family,50,76, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2015,2,Carlos Slim & family,77.1,75, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2011,1,Carlos Slim & family,74,71, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2009,3,Carlos Slim & family,35,69, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2008,2,Carlos Slim & family,60,68, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2007,3,Carlos Slim & family,49,67, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2006,3,Carlos Slim & familycolnames(wbl),30,66, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2005,4,Carlos Slim & family,23.8,65, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
1994,10,Carlos Slim & family,6.6,/, Mexico,América Móvil,Finance/Insurance
2014,2,Carlos Slim & family,72,74, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2013,1,Carlos Slim & family,73,73, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2012,1,Carlos Slim & family,69,72, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2010,1,Carlos Slim & family,53.5,70, Mexico,"América Móvil, Grupo Carso",Finance/Insurance
2018,8,Charles Koch,60,82, United States,Koch Industries,Energy
2017,8,Charles Koch,48.3,81, United States,Koch Industries,Energy
2016,9,Charles Koch,39.6,80, United States,Koch Industries,Energy
2015,6,Charles Koch,42.9,79, United States,Koch Industries,Energy
2014,6,Charles Koch,40,78, United States,Koch Industries,Energy
2013,6,Charles Koch,34,77, United States,Koch Industries,Energy
2015,8,Walton family,41.7,66, United States,Wal-Mart,Consumer Goods/Retail
2014,9,Walton family,36.7,65, United States,Wal-Mart,Consumer Goods/Retail
2011,10,Walton family,26.5,62, United States,Wal-Mart,Consumer Goods/Retail
1995,10,Chung Ju-yung,6.2,/, South Korea,Hyundai Group,Manufacturing
2018,8,David Koch,60,77, United States,Koch Industries,Energy
2017,8,David Koch,48.3,76, United States,Koch Industries,Energy
2016,9,David Koch,39.6,75, United States,Koch Industries,Energy
2015,6,David Koch,42.9,74, United States,Koch Industries,Energy
2014,6,David Koch,40,73, United States,Koch Industries,Energy
2013,6,David Koch,34,72, United States,Koch Industries,Energy
1992,8,David Sainsbury & family,6.2,/, United Kingdom,Sainsbury's supermarket,Consumer Goods/Retail
2007,10,David Thomson,22,49, Canada,Thomson Corporation,Media/Technology
1994,2,du Pont family,9,/, United States,DuPont,Manufacturing
1993,4,du Pont family,8.6,/, United States,DuPont,Manufacturing
1991,4,du Pont family,10,/, United States,DuPont,Manufacturing
1990,4,du Pont family,10,/, United States,DuPont,Manufacturing
2012,7,Eike Batista,30,55, Brazil,EBX Group,Energy
2011,8,Eike Batista,30,53, Brazil,EBX Group,Energy
2010,8,Eike Batista,27,53, Brazil,EBX Group,Energy
1990,10,Eitaro Itoyama,5.8,/, Japan,Real Estate,Real Estate
1989,10,Eitaro Itoyama,6.6,/, Japan,Real Estate,Real Estate
1988,9,Eitaro Itoyama,5,/, Japan,Real Estate,Real Estate
2022,1,Elon Musk,219,50, United States,"Tesla, SpaceX",Media/Technology
2021,2,Elon Musk,151,49, United States,"Tesla, SpaceX",Media/Technology
1993,10,Erivan Haub,6.2,/, Germany,Tengelmann Group,Services
1992,5,Erivan Haub,6.9,/, Germany,Tengelmann Group,Services
1998,7,Forrest Mars Sr. & family,13.5,94, United States,"Mars, Inc.[49]",Consumer Goods/Retail
1997,8,Forrest Mars Sr. & family,12,93, United States,"Mars, Inc.[49]",Consumer Goods/Retail
1997,7,Haas family,12.3,_, United States,Levi Strauss & Co[52],Consumer Goods/Retail
1992,6,Haniel family,6.4,/, Germany,Franz Haniel & Cie.,Miscellaneous
1995,4,Hans and Gad Rausing,9,/, Sweden,Tetra Pak,Manufacturing
1994,3,Hans and Gad Rausing,9,/, Sweden,Tetra Pak,Manufacturing
1992,4,Hans and Gad Rausing,7,/, Sweden,Tetra Pak,Manufacturing
1991,5,Hans and Gad Rausing,9,/, Sweden,Tetra Pak,Manufacturing
1990,5,Hans and Gad Rausing,9.6,/, Sweden,Tetra Pak,Manufacturing
1989,8,Hans and Gad Rausing,7,/, Sweden,Tetra Pak,Manufacturing
1987,6,Hans and Gad Rausing,6,/, Sweden,Tetra Pak,Manufacturing
1988,6,Haruhiko Yoshimoto ,7.8,/, Japan,Real Estate,Real Estate
1987,4,Haruhiko Yoshimoto ,7,/, Japan,Real Estate,Real Estate
1989,8,Haruhiko Yoshimoto ,7,/, Japan,Real Estate,Real Estate
2004,6,Helen Walton,20,84, United States,Wal-Mart,Consumer Goods/Retail
